system:index,BurnDate,FirstDay,LastDay,QA,Uncertainty,.geo
29605_0,339.0,175.0,190.0,3.0,1.0,
29792_0,245.0,175.0,189.0,3.0,2.0,
29796_0,282.0,176.5,190.0,3.0,2.0,
30043_0,191.0,174.5,189.5,3.0,2.0,
30122_0,284.0,176.0,190.0,3.0,3.0,
30199_0,342.0,177.5,187.0,3.0,7.0,
30215_0,178.0,176.0,189.5,3.0,1.0,
30312_0,339.0,176.5,189.0,3.0,1.0,
30640_0,343.0,175.0,190.0,3.0,4.0,
30788_0,228.0,177.5,212.5,3.0,1.0,
30852_0,138.0,174.5,189.5,3.0,2.0,
30896_0,248.0,177.0,190.0,3.0,3.0,
31008_0,344.0,174.5,190.0,3.0,3.0,
31104_0,282.0,175.5,190.0,3.0,2.0,
31112_0,237.0,177.5,189.5,3.0,12.0,
31212_0,191.0,177.0,188.5,3.0,4.0,
31311_0,286.0,176.0,189.5,3.0,6.0,
31431_0,202.0,175.5,190.0,3.0,3.0,
31451_0,246.0,175.0,189.5,3.0,3.0,
31522_0,247.0,176.5,220.0,3.0,8.0,
31625_0,199.0,176.0,190.0,3.0,2.0,
31718_0,282.0,175.5,190.0,3.0,2.0,
31835_0,291.0,175.0,190.0,3.0,6.0,
31894_0,201.0,176.0,190.0,3.0,4.0,
31907_0,232.0,190.0,205.0,3.0,7.0,
31913_0,247.0,177.0,190.0,3.0,9.0,
31967_0,243.0,176.5,190.0,3.0,5.0,
32057_0,198.0,175.5,190.0,3.0,2.0,
32158_0,282.0,176.0,190.0,3.0,1.0,
32172_0,211.0,178.5,189.5,3.0,1.0,
32196_0,251.0,175.0,190.0,3.0,1.0,
32262_0,340.0,174.5,189.0,3.0,2.0,
32302_0,248.0,178.5,216.0,3.0,3.0,
32574_0,285.0,175.5,190.0,3.0,1.0,
32792_0,212.0,177.0,188.0,3.0,6.0,
32835_0,284.0,176.0,190.0,3.0,5.0,
32845_0,341.0,175.0,190.0,3.0,2.0,
33007_0,246.0,175.5,220.0,3.0,7.0,
33013_0,285.0,176.5,190.0,3.0,5.0,
33212_0,213.0,176.0,189.5,3.0,3.0,
33413_0,282.0,175.5,190.0,3.0,2.0,
33425_0,180.0,176.0,186.0,3.0,9.0,
33469_0,190.0,175.5,189.5,3.0,1.0,
33532_0,211.0,178.5,189.5,3.0,2.0,
33555_0,245.0,176.0,189.0,3.0,2.0,
33692_0,245.0,175.0,189.0,3.0,1.0,
33759_0,210.0,177.5,189.0,3.0,1.0,
33942_0,284.0,176.0,190.0,3.0,4.0,
33948_0,340.0,174.5,190.0,3.0,2.0,
34219_0,282.0,175.5,190.0,3.0,2.0,
34230_0,191.0,174.5,189.5,3.0,2.0,
34281_0,196.0,175.0,189.5,3.0,1.0,
34298_0,282.0,176.0,190.0,3.0,1.0,
34342_0,281.0,176.0,190.0,3.0,1.0,
34352_0,340.0,176.5,189.5,3.0,3.0,
34726_0,247.0,177.0,220.0,3.0,5.0,
34758_0,196.0,174.5,189.5,3.0,3.0,
34780_0,339.0,176.5,189.5,3.0,2.0,
35289_0,229.0,177.5,190.0,3.0,4.0,
35398_0,200.0,175.5,190.0,3.0,2.0,
35534_0,222.0,177.0,190.0,3.0,1.0,
35639_0,194.0,174.5,189.5,3.0,4.0,
35654_0,213.0,177.0,189.5,3.0,2.0,
35846_0,248.0,206.5,251.0,3.0,7.0,
35958_0,344.0,177.0,190.0,3.0,6.0,
35981_0,203.0,176.0,190.0,3.0,1.0,
35991_0,340.0,174.5,189.0,3.0,2.0,
36053_0,198.0,175.5,190.0,3.0,2.0,
36112_0,282.0,175.5,190.0,3.0,1.0,
36228_0,341.0,174.5,190.0,3.0,3.0,
36541_0,282.0,175.0,190.0,3.0,2.0,
36650_0,343.0,176.5,190.0,3.0,4.0,
36873_0,284.0,175.0,189.5,3.0,11.0,
36965_0,346.0,174.5,190.0,3.0,2.0,
37145_0,190.0,176.0,190.0,3.0,4.0,
37362_0,340.0,175.0,190.0,3.0,3.0,
37700_0,246.0,175.0,189.5,3.0,1.0,
37717_0,190.0,176.0,190.0,3.0,4.0,
37793_0,282.0,175.5,190.0,3.0,2.0,
38031_0,339.0,176.0,188.5,3.0,1.0,
38133_0,287.0,175.5,190.0,3.0,3.0,
38143_0,291.0,176.5,190.0,3.0,7.0,
38432_0,190.0,176.5,190.0,3.0,2.0,
38675_0,282.0,175.5,190.0,3.0,2.0,
38691_0,226.0,175.5,189.5,3.0,1.0,
38841_0,194.0,174.5,189.5,3.0,2.0,
38867_0,339.0,176.0,190.0,3.0,2.0,
38961_0,188.0,175.5,190.0,3.0,1.0,
39110_0,252.0,177.5,190.0,3.0,1.0,
39182_0,229.0,177.5,190.0,3.0,4.0,
39200_0,339.0,175.0,189.5,3.0,2.0,
39358_0,343.0,174.5,190.0,3.0,5.0,
39499_0,282.0,177.0,190.0,3.0,2.0,
39589_0,283.0,175.5,190.0,3.0,1.0,
39694_0,282.0,175.5,190.0,3.0,2.0,
39705_0,228.0,177.0,190.0,3.0,8.0,
39911_0,342.0,175.0,190.0,3.0,3.0,
39957_0,282.0,176.5,190.0,3.0,2.0,
40017_0,156.0,174.5,190.0,3.0,1.0,
40021_0,233.0,177.5,218.0,3.0,4.0,
40100_0,226.0,176.5,190.0,3.0,1.0,
