system:index,elevation,.geo
1233_0,128,
1234_0,1024,
1235_0,-7,
1236_0,432,
1237_0,728,
1238_0,1157,
1239_0,49,
1240_0,512,
1242_0,614,
1243_0,1740,
1244_0,124,
1245_0,302,
1246_0,243,
1247_0,-6,
1248_0,32,
1249_0,1961,
1250_0,1414,
1251_0,39,
1252_0,246,
1253_0,454,
1254_0,675,
1255_0,1645,
1256_0,110,
1257_0,252,
1258_0,2203,
1259_0,919,
1260_0,519,
1261_0,2147,
1262_0,20,
1263_0,36,
1264_0,399,
1265_0,1522,
1266_0,1576,
1267_0,1208,
1268_0,150,
1269_0,1628,
1270_0,2001,
1271_0,994,
1272_0,2769,
1273_0,388,
1274_0,1246,
1275_0,2464,
1276_0,1199,
1277_0,416,
1278_0,391,
1279_0,1004,
1280_0,330,
1281_0,466,
1282_0,970,
1283_0,1461,
1284_0,211,
1285_0,1350,
1286_0,1000,
1287_0,97,
1288_0,171,
1289_0,177,
1290_0,334,
1291_0,697,
1292_0,1177,
1293_0,99,
1295_0,850,
1296_0,1922,
1297_0,1393,
1298_0,84,
1299_0,1603,
1300_0,1333,
1301_0,1646,
1302_0,735,
1304_0,1051,
1305_0,664,
1306_0,1108,
1307_0,54,
1308_0,530,
1309_0,1989,
1310_0,1535,
1311_0,217,
1312_0,1503,
1313_0,19,
1314_0,27,
1315_0,2120,
1316_0,553,
1317_0,1266,
1318_0,491,
1319_0,1315,
1320_0,699,
1321_0,245,
1322_0,942,
1323_0,446,
1324_0,1494,
1325_0,2374,
1326_0,700,
1328_0,11,
1329_0,-2,
1330_0,687,
1331_0,1474,
1332_0,941,
1333_0,1812,
1334_0,239,
1335_0,92,
1337_0,1367,
1339_0,1589,
1340_0,588,
1341_0,14,
1342_0,1271,
1343_0,1754,
1344_0,303,
1345_0,973,
1346_0,1799,
1347_0,921,
1348_0,1054,
1349_0,1268,
1350_0,898,
1351_0,40,
1352_0,278,
1354_0,640,
1355_0,322,
1357_0,378,
1358_0,1731,
1359_0,510,
1360_0,693,
1361_0,189,
1362_0,999,
