Date,Time,NadirX-NAD83,NadirY-NAD83,Depth
6/6/2016,15:00:16,376656.8604,4625578.861,5.2
6/6/2016,15:00:17,376658.4804,4625581.421,5.1
6/6/2016,15:00:18,376660.0704,4625584.041,5.1
6/6/2016,15:00:19,376661.6404,4625586.731,5.1
6/6/2016,15:00:20,376663.1704,4625589.491,5.2
6/6/2016,15:00:21,376664.6704,4625592.341,5.2
6/6/2016,15:00:22,376666.1404,4625595.261,5
6/6/2016,15:00:23,376667.5904,4625598.221,4.9
6/6/2016,15:00:24,376669.0404,4625601.181,4.9
6/6/2016,15:00:25,376670.5004,4625604.091,5
6/6/2016,15:00:26,376671.9904,4625606.911,5.3
6/6/2016,15:00:27,376673.5304,4625609.601,5.6
6/6/2016,15:00:28,376675.1304,4625612.131,5.7
6/6/2016,15:00:30,376676.8104,4625614.441,5.6
6/6/2016,15:00:31,376678.5904,4625616.501,5.8
6/6/2016,15:00:32,376680.4704,4625618.271,5.8
6/6/2016,15:00:33,376682.4804,4625619.701,5.7
6/6/2016,15:00:34,376684.6304,4625620.761,5.6
6/6/2016,15:00:35,376686.9204,4625621.401,5.7
6/6/2016,15:00:36,376689.3304,4625621.661,5.8
6/6/2016,15:00:37,376691.7904,4625621.561,5.7
6/6/2016,15:00:38,376694.2604,4625621.131,5.9
6/6/2016,15:00:39,376696.6704,4625620.411,6
6/6/2016,15:00:40,376698.9804,4625619.431,5.8
6/6/2016,15:00:41,376701.1304,4625618.211,5.9
6/6/2016,15:00:42,376703.0804,4625616.801,5.8
6/6/2016,15:00:43,376704.7604,4625615.231,5.9
6/6/2016,15:00:44,376706.1204,4625613.521,5.8
6/6/2016,15:00:45,376707.1104,4625611.721,5.6
6/6/2016,15:00:46,376707.6804,4625609.841,5.6
6/6/2016,15:00:48,376707.7804,4625607.931,5.5
6/6/2016,15:00:49,376707.4104,4625605.991,5.6
6/6/2016,15:00:50,376706.6404,4625604.041,5.6
6/6/2016,15:00:51,376705.5104,4625602.061,5.6
6/6/2016,15:00:52,376704.0604,4625600.061,5.4
6/6/2016,15:00:53,376702.3504,4625598.041,5.3
6/6/2016,15:00:54,376700.4404,4625596.011,5.2
6/6/2016,15:00:55,376698.3504,4625593.951,5.3
6/6/2016,15:00:56,376696.1604,4625591.891,5.3
6/6/2016,15:00:57,376693.9004,4625589.811,5.3
6/6/2016,15:00:58,376691.6304,4625587.721,5.3
6/6/2016,15:00:59,376689.4004,4625585.621,5.4
6/6/2016,15:01:00,376687.2504,4625583.511,5.4
6/6/2016,15:01:01,376685.2104,4625581.391,5.3
6/6/2016,15:01:02,376683.2804,4625579.261,5.4
6/6/2016,15:01:03,376681.4404,4625577.121,5.4
6/6/2016,15:01:04,376679.6804,4625574.981,5.4
6/6/2016,15:01:05,376677.9904,4625572.821,5.4
6/6/2016,15:01:07,376676.3604,4625570.661,5.4
6/6/2016,15:01:08,376674.7804,4625568.491,5.3
6/6/2016,15:01:09,376673.2304,4625566.301,5.4
6/6/2016,15:01:10,376671.7104,4625564.111,5.4
6/6/2016,15:01:11,376670.2004,4625561.911,5.4
6/6/2016,15:01:12,376668.6904,4625559.701,5.4
6/6/2016,15:01:13,376667.1804,4625557.481,5.4
6/6/2016,15:01:14,376665.6404,4625555.241,5.4
6/6/2016,15:01:15,376664.0804,4625553.001,5.4
6/6/2016,15:01:16,376662.5104,4625550.751,5.4
6/6/2016,15:01:17,376660.9204,4625548.501,5.4
6/6/2016,15:01:18,376659.3204,4625546.231,5.3
6/6/2016,15:01:19,376657.7004,4625543.961,5.1
6/6/2016,15:01:20,376656.0804,4625541.691,5.1
6/6/2016,15:01:21,376654.4404,4625539.411,5.1
6/6/2016,15:01:22,376652.8004,4625537.121,5
6/6/2016,15:01:23,376651.1604,4625534.841,5.1
6/6/2016,15:01:24,376649.5104,4625532.551,5.2
6/6/2016,15:01:26,376647.8604,4625530.261,5.2
6/6/2016,15:01:27,376646.2104,4625527.971,5.2
6/6/2016,15:01:28,376644.5604,4625525.681,5.2
6/6/2016,15:01:29,376642.9104,4625523.391,5.2
6/6/2016,15:01:30,376641.2704,4625521.101,5.2
6/6/2016,15:01:31,376639.6304,4625518.811,5.1
6/6/2016,15:01:32,376638.0004,4625516.531,4.9
6/6/2016,15:01:33,376636.3704,4625514.241,4.9
6/6/2016,15:01:34,376634.7504,4625511.961,5
6/6/2016,15:01:35,376633.1404,4625509.681,5
6/6/2016,15:01:36,376631.5404,4625507.401,5.2
6/6/2016,15:01:37,376629.9504,4625505.121,5.2
6/6/2016,15:01:38,376628.3704,4625502.851,5.4
6/6/2016,15:01:39,376626.8104,4625500.581,5.2
6/6/2016,15:01:40,376625.2504,4625498.321,5.1
6/6/2016,15:01:41,376623.7104,4625496.051,5
6/6/2016,15:01:42,376622.1704,4625493.791,4.9
6/6/2016,15:01:43,376620.6304,4625491.531,4.8
6/6/2016,15:01:45,376619.1004,4625489.271,4.7
6/6/2016,15:01:46,376617.5704,4625487.001,4.8
6/6/2016,15:01:47,376616.0304,4625484.741,4.6
6/6/2016,15:01:48,376614.4904,4625482.471,4.8
6/6/2016,15:01:49,376612.9404,4625480.201,4.7
6/6/2016,15:01:50,376611.3804,4625477.921,4.7
6/6/2016,15:01:51,376609.8004,4625475.641,4.6
6/6/2016,15:01:52,376608.2104,4625473.351,4.7
6/6/2016,15:01:53,376606.6004,4625471.051,4.7
6/6/2016,15:01:54,376604.9804,4625468.751,4.6
6/6/2016,15:01:55,376603.3504,4625466.451,4.5
6/6/2016,15:01:56,376601.7004,4625464.141,4.6
6/6/2016,15:01:57,376600.0604,4625461.831,4.6
6/6/2016,15:01:58,376598.4104,4625459.521,4.5
6/6/2016,15:01:59,376596.7604,4625457.221,4.6
6/6/2016,15:02:00,376595.1104,4625454.911,4.5
6/6/2016,15:02:01,376593.4704,4625452.621,4.5
6/6/2016,15:02:02,376591.8404,4625450.321,4.5
6/6/2016,15:02:04,376590.2304,4625448.041,4.5
6/6/2016,15:02:05,376588.6304,4625445.771,4.3
6/6/2016,15:02:06,376587.0504,4625443.501,4.5
6/6/2016,15:02:07,376585.4804,4625441.251,4.5
6/6/2016,15:02:08,376583.9304,4625439.001,4.5
6/6/2016,15:02:09,376582.4004,4625436.761,4.4
6/6/2016,15:02:10,376580.8704,4625434.511,4.3
6/6/2016,15:02:11,376579.3404,4625432.271,4
6/6/2016,15:02:12,376577.8104,4625430.021,4.1
6/6/2016,15:02:13,376576.2904,4625427.771,4
6/6/2016,15:02:14,376574.7604,4625425.511,3.9
6/6/2016,15:02:15,376573.2204,4625423.241,3.9
6/6/2016,15:02:16,376571.6704,4625420.951,3.9
6/6/2016,15:02:17,376570.1004,4625418.651,4
6/6/2016,15:02:18,376568.5204,4625416.331,4
6/6/2016,15:02:19,376566.9204,4625413.991,3.9
6/6/2016,15:02:20,376565.3104,4625411.641,3.8
6/6/2016,15:02:22,376563.6804,4625409.281,3.7
